,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
v[51195],0.782,0.851,-0.803,2.383,0.008,0.007,12175.0,10120.0,1.0
v[51740],0.337,0.791,-1.149,1.815,0.007,0.007,11460.0,10315.0,1.0
v[51810],-0.276,0.795,-1.719,1.293,0.008,0.007,11136.0,11482.0,1.0
v[51005],-0.505,0.913,-2.22,1.222,0.008,0.007,14384.0,11033.0,1.0
v[51640],-0.613,0.963,-2.402,1.209,0.01,0.007,8956.0,10485.0,1.0
v[51193],-0.52,0.926,-2.204,1.273,0.007,0.007,18781.0,12129.0,1.0
v[51133],-0.098,0.926,-1.842,1.624,0.007,0.007,19266.0,12407.0,1.0
v[51155],0.565,0.888,-1.12,2.221,0.008,0.007,12689.0,11884.0,1.0
v[51187],0.279,0.829,-1.284,1.839,0.007,0.007,16235.0,11951.0,1.0
v[51590],-0.069,0.876,-1.68,1.622,0.007,0.007,14494.0,11321.0,1.0
v[51630],1.344,0.977,-0.505,3.148,0.017,0.007,3462.0,8433.0,1.0
v[51017],-0.394,0.934,-2.102,1.41,0.008,0.008,14752.0,11104.0,1.0
v[51670],0.422,0.853,-1.13,2.091,0.008,0.007,11902.0,11426.0,1.0
v[51700],0.223,0.755,-1.246,1.627,0.007,0.007,12054.0,11441.0,1.0
v[51069],-0.505,0.809,-2.076,0.966,0.007,0.007,13879.0,11620.0,1.0
v[51680],-0.118,0.831,-1.722,1.403,0.007,0.007,12413.0,11292.0,1.0
v[51199],-0.384,0.861,-1.972,1.254,0.007,0.008,13867.0,9638.0,1.0
v[51690],0.127,0.888,-1.509,1.817,0.008,0.007,11069.0,11161.0,1.0
v[51125],-0.16,0.901,-1.965,1.427,0.007,0.007,18379.0,12188.0,1.0
v[51143],-0.088,0.826,-1.68,1.428,0.006,0.007,16947.0,11492.0,1.0
v[51610],-0.19,0.952,-2.004,1.584,0.008,0.008,15701.0,11182.0,1.0
v[51730],0.973,0.844,-0.682,2.502,0.009,0.007,9497.0,9901.0,1.0
v[51735],-0.363,0.937,-2.217,1.331,0.007,0.007,18377.0,11875.0,1.0
v[51820],-0.126,0.907,-1.8,1.599,0.007,0.008,16251.0,11862.0,1.0
v[51770],1.172,0.916,-0.56,2.843,0.016,0.008,3273.0,7006.0,1.0
v[51800],-0.111,0.8,-1.601,1.388,0.007,0.007,14875.0,11923.0,1.0
v[51710],-0.089,0.727,-1.46,1.299,0.007,0.007,11181.0,10716.0,1.0
v[51041],0.275,0.654,-0.982,1.512,0.007,0.007,8398.0,9209.0,1.0
v[51059],-0.744,0.81,-2.198,0.821,0.012,0.007,4565.0,9358.0,1.0
v[51620],-0.721,0.936,-2.484,1.059,0.009,0.008,10931.0,11049.0,1.0
v[51093],0.045,0.892,-1.613,1.742,0.007,0.008,16693.0,11187.0,1.0
v[51678],-0.358,0.96,-2.22,1.412,0.008,0.008,15499.0,12110.0,1.0
v[51089],0.071,0.833,-1.548,1.593,0.007,0.007,14741.0,11310.0,1.0
v[51101],-0.403,0.891,-2.108,1.217,0.007,0.007,16794.0,12558.0,1.0
v[51109],-0.046,0.854,-1.689,1.538,0.007,0.007,16975.0,10468.0,1.0
v[51147],-0.312,0.921,-2.036,1.427,0.007,0.008,18481.0,12276.0,1.0
v[51165],-0.171,0.824,-1.65,1.432,0.007,0.007,12834.0,10770.0,1.0
v[51043],0.272,0.884,-1.358,1.945,0.007,0.008,17866.0,11719.0,1.0
v[51117],0.441,0.868,-1.202,2.09,0.007,0.007,15124.0,12488.0,1.0
v[51015],0.427,0.81,-1.072,1.987,0.006,0.007,17281.0,12225.0,1.0
v[51075],-0.106,0.896,-1.819,1.555,0.007,0.007,17489.0,11945.0,1.0
v[51113],-0.004,0.877,-1.681,1.635,0.006,0.007,20802.0,11414.0,1.0
v[51161],-0.001,0.789,-1.539,1.424,0.008,0.007,10805.0,10263.0,1.0
v[51025],0.361,0.879,-1.35,1.939,0.006,0.007,18742.0,12179.0,1.0
v[51163],0.084,0.92,-1.618,1.832,0.007,0.008,16774.0,11107.0,1.0
v[51720],-0.321,0.932,-2.155,1.356,0.007,0.008,16529.0,10477.0,1.0
v[51570],-0.092,0.881,-1.752,1.586,0.007,0.007,17959.0,11236.0,1.0
v[51023],0.517,0.887,-1.226,2.13,0.007,0.007,16891.0,11363.0,1.0
v[51520],-0.433,0.936,-2.147,1.4,0.008,0.008,12378.0,11200.0,1.0
